latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
49.174,29.906,314.3,1,1,2019-10-18,0905,T,71,6.0NRT,296.5,8.1,D
49.106,30.307,310.5,1,1,2019-10-18,0905,T,62,6.0NRT,296.1,6.2,D
49.104,30.321,309.7,1,1,2019-10-18,0905,T,63,6.0NRT,297.2,5,D
48.885,31.737,312.6,1,1,2019-10-18,0905,T,68,6.0NRT,295.9,8.3,D
48.883,31.75,316.4,1,1,2019-10-18,0905,T,74,6.0NRT,295.9,11.7,D
49.098,30.304,326.1,1,1,2019-10-18,0905,T,83,6.0NRT,297,19.7,D
49.096,30.318,325.3,1,1,2019-10-18,0905,T,82,6.0NRT,295.6,18.5,D
49.133,29.929,304.8,1,1,2019-10-18,0905,T,19,6.0NRT,294,2.6,D
49.132,29.943,322.1,1,1,2019-10-18,0905,T,80,6.0NRT,294.5,16.6,D
49.188,29.008,306.6,1,1,2019-10-18,0905,T,58,6.0NRT,294.2,4.5,D
48.844,31.179,317.1,1,1,2019-10-18,0905,T,74,6.0NRT,298.3,11.4,D
48.842,31.192,308.6,1,1,2019-10-18,0905,T,56,6.0NRT,298.1,4.8,D
48.485,33.285,309.8,1.1,1.1,2019-10-18,0905,T,64,6.0NRT,293.2,8.7,D
48.188,34.899,334.2,1.3,1.1,2019-10-18,0905,T,88,6.0NRT,296.4,47.3,D
48.447,33.444,311.3,1.1,1.1,2019-10-18,0905,T,67,6.0NRT,294.9,9.8,D
49.034,29.523,307,1,1,2019-10-18,0905,T,58,6.0NRT,295.5,4.2,D
48.628,32.001,312.5,1,1,2019-10-18,0905,T,68,6.0NRT,296.3,8,D
48.626,31.317,313.7,1,1,2019-10-18,0905,T,69,6.0NRT,298.1,8.3,D
48.862,29.625,338.2,1,1,2019-10-18,0905,T,90,6.0NRT,297.8,37.3,D
48.86,29.638,310.6,1,1,2019-10-18,0905,T,64,6.0NRT,297.2,6.1,D
49.365,25.447,307.4,1.3,1.1,2019-10-18,0905,T,65,6.0NRT,289.6,8.3,D
48.842,29.632,309.3,1,1,2019-10-18,0905,T,51,6.0NRT,295.1,5.4,D
48.704,30.324,308.9,1,1,2019-10-18,0905,T,60,6.0NRT,297.6,5.6,D
48.702,30.337,326.2,1,1,2019-10-18,0905,T,82,6.0NRT,297.3,21.1,D
48.544,31.367,308.7,1,1,2019-10-18,0905,T,53,6.0NRT,298.6,3.9,D
49.251,25.858,316.1,1.2,1.1,2019-10-18,0905,T,76,6.0NRT,293.2,15.3,D
48.751,29.751,308.4,1,1,2019-10-18,0905,T,60,6.0NRT,297.5,4.4,D
48.723,29.882,307.3,1,1,2019-10-18,0905,T,52,6.0NRT,296.9,3.6,D
48.904,28.362,308.4,1,1,2019-10-18,0905,T,63,6.0NRT,292.1,6.5,D
48.895,28.359,308.1,1,1,2019-10-18,0905,T,62,6.0NRT,292.3,6.8,D
49.082,26.808,304.7,1.1,1.1,2019-10-18,0905,T,55,6.0NRT,292.6,5,D
49.08,26.824,306.4,1.1,1.1,2019-10-18,0905,T,60,6.0NRT,293.6,6.1,D
48.665,29.773,322.6,1,1,2019-10-18,0905,T,80,6.0NRT,298.2,16.9,D
48.562,30.465,343.9,1,1,2019-10-18,0905,T,93,6.0NRT,297.3,47,D
48.56,30.478,337,1,1,2019-10-18,0905,T,89,6.0NRT,296.3,35.1,D
48.606,30.047,316.3,1,1,2019-10-18,0905,T,73,6.0NRT,297.3,10.6,D
48.604,30.06,324.1,1,1,2019-10-18,0905,T,81,6.0NRT,297.7,18.2,D
48.565,30.326,323.2,1,1,2019-10-18,0905,T,78,6.0NRT,296.2,15.3,D
48.556,30.323,350.3,1,1,2019-10-18,0905,T,96,6.0NRT,300,56.6,D
48.554,30.336,362.2,1,1,2019-10-18,0905,T,100,6.0NRT,301,85.8,D
48.545,30.333,321.3,1,1,2019-10-18,0905,T,67,6.0NRT,296.9,12.8,D
48.377,31.301,310.5,1,1,2019-10-18,0905,T,63,6.0NRT,298.3,5.4,D
48.59,29.84,308.8,1,1,2019-10-18,0905,T,60,6.0NRT,295.9,5.4,D
48.588,29.854,307.4,1,1,2019-10-18,0905,T,55,6.0NRT,296.7,4.5,D
48.692,28.917,306.4,1,1,2019-10-18,0905,T,53,6.0NRT,294.8,4.4,D
48.669,28.953,306.3,1,1,2019-10-18,0905,T,44,6.0NRT,294.8,4.1,D
48.556,29.564,336,1,1,2019-10-18,0905,T,89,6.0NRT,299,34.8,D
48.554,29.577,323.4,1,1,2019-10-18,0905,T,80,6.0NRT,294.8,18.7,D
48.48,29.77,310.4,1,1,2019-10-18,0905,T,63,6.0NRT,297.8,6.2,D
48.47,29.711,322.1,1,1,2019-10-18,0905,T,79,6.0NRT,297.8,16.9,D
48.468,29.724,310.9,1,1,2019-10-18,0905,T,65,6.0NRT,297.5,7.2,D
47.862,33.447,324.4,1.2,1.1,2019-10-18,0905,T,77,6.0NRT,296,24.9,D
47.86,33.462,310.6,1.2,1.1,2019-10-18,0905,T,64,6.0NRT,295.4,9.6,D
48.382,30.183,320.1,1,1,2019-10-18,0905,T,77,6.0NRT,298.2,14.5,D
48.373,29.993,309.2,1,1,2019-10-18,0905,T,54,6.0NRT,296.6,5.4,D
48.371,30.007,306.3,1,1,2019-10-18,0905,T,30,6.0NRT,295.1,3.8,D
48.26,30.498,309,1,1,2019-10-18,0905,T,58,6.0NRT,297.9,5,D
48.481,28.84,316.1,1,1,2019-10-18,0905,T,74,6.0NRT,295.7,12.2,D
48.083,31.505,311.4,1,1,2019-10-18,0905,T,63,6.0NRT,299.1,5.8,D
48.081,31.519,313.2,1,1,2019-10-18,0905,T,67,6.0NRT,298.5,7.3,D
48.472,28.838,307.5,1,1,2019-10-18,0905,T,31,6.0NRT,292.8,5.1,D
48.306,29.882,308,1,1,2019-10-18,0905,T,55,6.0NRT,294.8,5.2,D
48.163,30.765,322.1,1,1,2019-10-18,0905,T,78,6.0NRT,299.8,15.6,D
48.161,30.778,340.2,1,1,2019-10-18,0905,T,91,6.0NRT,301.7,39.8,D
48.142,30.479,310.5,1,1,2019-10-18,0905,T,60,6.0NRT,299.1,6,D
48.178,30.056,317.4,1,1,2019-10-18,0905,T,73,6.0NRT,295.5,12.4,D
48.114,30.478,316,1,1,2019-10-18,0905,T,71,6.0NRT,301.4,9.2,D
48.157,30.007,308.8,1,1,2019-10-18,0905,T,57,6.0NRT,296.6,5.7,D
48.084,29.936,322.2,1,1,2019-10-18,0905,T,79,6.0NRT,297,17.7,D
47.922,29.328,310,1,1,2019-10-18,0905,T,59,6.0NRT,297.5,6.1,D
47.921,29.341,318.8,1,1,2019-10-18,0905,T,74,6.0NRT,296.2,13.5,D
47.568,31.4,310.2,1,1,2019-10-18,0905,T,55,6.0NRT,299.7,4,D
47.795,29.117,308,1,1,2019-10-18,0905,T,41,6.0NRT,295.4,4.3,D
47.646,29.572,317.3,1,1,2019-10-18,0905,T,72,6.0NRT,300.5,9.9,D
47.487,30.021,312.7,1,1,2019-10-18,0905,T,57,6.0NRT,297.7,6.5,D
47.485,30.034,308.3,1,1,2019-10-18,0905,T,17,6.0NRT,297.5,3.4,D
47.433,29.888,311.5,1,1,2019-10-18,0905,T,61,6.0NRT,300.9,4.9,D
48.02,22.95,304.3,1.6,1.3,2019-10-18,0905,T,58,6.0NRT,292.1,7.1,D
46.935,24.918,301.3,1.3,1.1,2019-10-18,0905,T,40,6.0NRT,289.5,5.4,D
46.938,21.762,318.4,1.8,1.3,2019-10-18,0905,T,78,6.0NRT,295,30.3,D
46.944,21.757,320.3,1.8,1.3,2019-10-18,0905,T,80,6.0NRT,294.7,32.8,D
46.198,20.948,314,2,1.4,2019-10-18,0905,T,74,6.0NRT,293.7,23.4,D
46.186,20.947,314.1,2,1.4,2019-10-18,0905,T,74,6.0NRT,294.2,23.3,D
46.195,20.941,321,2,1.4,2019-10-18,0905,T,80,6.0NRT,294,39.7,D
46.193,20.966,306.8,1.9,1.4,2019-10-18,0905,T,41,6.0NRT,293.5,9.4,D
46.07,21.069,307.7,1.9,1.4,2019-10-18,0905,T,64,6.0NRT,294.7,11.1,D
45.774,20.57,312.9,2,1.4,2019-10-18,0905,T,72,6.0NRT,294.9,21.7,D
45.772,20.563,309.6,2,1.4,2019-10-18,0905,T,68,6.0NRT,294.9,14,D
45.711,20.711,309.7,2,1.4,2019-10-18,0905,T,25,6.0NRT,294.8,12.9,D
45.694,20.938,307.4,1.9,1.4,2019-10-18,0905,T,64,6.0NRT,293.5,13,D
45.701,20.684,312,2,1.4,2019-10-18,0905,T,64,6.0NRT,294.8,17.6,D
45.699,20.71,310.2,2,1.4,2019-10-18,0905,T,47,6.0NRT,295,14.3,D
45.521,20.672,308.4,2,1.4,2019-10-18,0905,T,66,6.0NRT,294.6,12.5,D
45.49,20.018,308.2,2.2,1.4,2019-10-18,0905,T,66,6.0NRT,293.8,15.1,D
45.485,19.906,307.2,2.2,1.4,2019-10-18,0905,T,64,6.0NRT,293.5,12.7,D
45.252,20.816,325.6,1.9,1.4,2019-10-18,0905,T,73,6.0NRT,294.7,53.8,D
45.226,20.292,306.4,2.1,1.4,2019-10-18,0905,T,40,6.0NRT,293.8,11.5,D
45.048,21.114,317.7,1.9,1.3,2019-10-18,0905,T,77,6.0NRT,296.3,27.4,D
45.047,20.97,312.6,1.9,1.3,2019-10-18,0905,T,71,6.0NRT,295.3,19.5,D
44.644,24.598,307.4,1.2,1.1,2019-10-18,0905,T,50,6.0NRT,296.4,5.3,D
44.92,21.276,313.9,1.8,1.3,2019-10-18,0905,T,67,6.0NRT,296.7,18.5,D
44.918,21.299,319.6,1.8,1.3,2019-10-18,0905,T,79,6.0NRT,297.8,29.9,D
44.84,20.829,314.7,1.9,1.3,2019-10-18,0905,T,74,6.0NRT,295.7,22.7,D
44.836,20.823,309.6,1.9,1.3,2019-10-18,0905,T,53,6.0NRT,295.4,11.3,D
44.798,20.841,317.8,1.9,1.3,2019-10-18,0905,T,77,6.0NRT,296.5,26.8,D
44.782,20.888,311.8,1.9,1.3,2019-10-18,0905,T,48,6.0NRT,296.6,12.8,D
44.39,23.943,309,1.3,1.1,2019-10-18,0905,T,61,6.0NRT,297.2,6.7,D
44.691,20.207,339.1,2.1,1.4,2019-10-18,0905,T,69,6.0NRT,292.4,114.8,D
44.689,20.233,328.8,2.1,1.4,2019-10-18,0905,T,65,6.0NRT,291.9,72.6,D
44.254,24.363,306,1.2,1.1,2019-10-18,0905,T,44,6.0NRT,293.2,4.6,D
43.743,27.701,308.8,1,1,2019-10-18,0905,T,50,6.0NRT,293.9,5.3,D
43.74,27.259,322.2,1,1,2019-10-18,0905,T,78,6.0NRT,298.9,16.4,D
43.738,27.271,324.4,1,1,2019-10-18,0905,T,80,6.0NRT,298.3,18.3,D
43.561,27.482,316.1,1,1,2019-10-18,0905,T,71,6.0NRT,298.3,9.4,D
44.004,21.41,306.5,1.7,1.3,2019-10-18,0905,T,61,6.0NRT,294.4,9.2,D
43.62,24.119,314.9,1.3,1.1,2019-10-18,0905,T,69,6.0NRT,299.4,7.4,D
43.462,24.174,321.1,1.2,1.1,2019-10-18,0905,T,77,6.0NRT,299.6,15.4,D
43.46,24.189,329,1.2,1.1,2019-10-18,0905,T,84,6.0NRT,300.1,27.5,D
43.391,24.076,311.7,1.3,1.1,2019-10-18,0905,T,49,6.0NRT,299,4.9,D
43.122,24.994,312.6,1.1,1.1,2019-10-18,0905,T,69,6.0NRT,297.5,8.5,D
42.71,24.174,307.4,1.2,1.1,2019-10-18,0905,T,55,6.0NRT,295.4,6,D
41.022,28.557,308.1,1,1,2019-10-18,0905,T,0,6.0NRT,293.4,4.3,D
40.987,27.075,321.3,1,1,2019-10-18,0905,T,78,6.0NRT,295.1,15,D
40.934,26.8,309.6,1,1,2019-10-18,0905,T,62,6.0NRT,297.3,4.5,D
40.301,27.464,305.4,1,1,2019-10-18,0905,T,42,6.0NRT,292.8,3.5,D
37.061,22.029,334.3,1.3,1.1,2019-10-18,0910,T,88,6.0NRT,298,43.5,D
37.06,22.043,311.7,1.3,1.1,2019-10-18,0910,T,66,6.0NRT,297.3,8,D
37.46,32.609,326.2,1.1,1.1,2019-10-18,1045,A,77,6.0NRT,299.9,21.2,D
37.458,32.597,383.9,1.1,1.1,2019-10-18,1045,A,100,6.0NRT,300.8,198.2,D
40.215,28.222,310.4,1.7,1.3,2019-10-18,1045,A,67,6.0NRT,293.9,10.5,D
40.794,26.307,306.3,2.1,1.4,2019-10-18,1045,A,29,6.0NRT,293.4,11.1,D
40.879,26.274,305.5,2.1,1.4,2019-10-18,1045,A,39,6.0NRT,293.4,10.4,D
40.88,26.269,306.2,2.1,1.4,2019-10-18,1045,A,50,6.0NRT,293.3,11.4,D
42.154,25.381,313.9,2.2,1.4,2019-10-18,1050,A,70,6.0NRT,300.3,16.1,D
42.171,24.978,310.1,2.3,1.5,2019-10-18,1050,A,62,6.0NRT,295.2,16.3,D
42.709,24.602,310.7,2.3,1.5,2019-10-18,1050,A,29,6.0NRT,297.4,21.7,D
42.706,24.596,313.4,2.3,1.5,2019-10-18,1050,A,65,6.0NRT,297.7,32,D
43.143,25.825,315.8,1.9,1.4,2019-10-18,1050,A,72,6.0NRT,300.6,21.2,D
43.553,27.573,316,1.5,1.2,2019-10-18,1050,A,71,6.0NRT,298.1,17.1,D
